Age,Gender,Height_cm,Weight_kg,BMI,Activity_Level,Diet_Type,Fitness_Goal,BMI_Category,Target_Label
27,Male,157.3,66.4,26.84,medium,vegan,lose,Overweight,lose_Overweight
38,Female,160.1,71.2,27.78,high,vegan,maintain,Overweight,maintain_Overweight
58,Male,188.1,42.0,11.87,low,vegetarian,gain,Underweight,gain_Underweight
20,Male,171.9,45.8,15.5,low,vegan,maintain,Underweight,maintain_Underweight
29,Male,160.3,86.3,33.58,medium,non-vegetarian,maintain,Obese,maintain_Obese
58,Female,165.6,53.8,19.62,medium,non-vegetarian,lose,Normal,lose_Normal
23,Male,157.8,80.2,32.21,medium,non-vegetarian,maintain,Obese,maintain_Obese
33,Male,157.7,73.2,29.43,high,vegan,gain,Overweight,gain_Overweight
46,Female,165.5,60.2,21.98,high,non-vegetarian,lose,Normal,lose_Normal
35,Male,186.4,79.5,22.88,high,non-vegetarian,maintain,Normal,maintain_Normal
53,Female,144.7,72.8,34.77,medium,vegetarian,maintain,Obese,maintain_Obese
23,Female,158.4,82.8,33.0,high,vegan,maintain,Obese,maintain_Obese
39,Male,157.1,68.3,27.67,low,non-vegetarian,gain,Overweight,gain_Overweight
39,Female,170.0,83.0,28.72,medium,vegan,lose,Overweight,lose_Overweight
35,Female,153.0,65.0,27.77,high,vegan,maintain,Overweight,maintain_Overweight
38,Female,160.3,60.2,23.43,low,vegetarian,gain,Normal,gain_Normal
36,Female,182.7,76.1,22.8,medium,vegetarian,gain,Normal,gain_Normal
20,Female,152.4,83.8,36.08,low,vegan,lose,Obese,lose_Obese
55,Female,186.2,85.5,24.66,low,vegetarian,maintain,Normal,maintain_Normal
54,Male,149.8,62.7,27.94,high,vegan,gain,Overweight,gain_Overweight
23,Male,177.7,59.4,18.81,high,non-vegetarian,gain,Normal,gain_Normal
50,Female,169.4,81.6,28.44,high,vegan,maintain,Overweight,maintain_Overweight
23,Female,155.7,69.1,28.5,low,vegetarian,maintain,Overweight,maintain_Overweight
52,Male,132.6,54.6,31.05,medium,non-vegetarian,lose,Obese,lose_Obese
37,Female,162.5,51.3,19.43,low,vegetarian,lose,Normal,lose_Normal
38,Female,181.3,48.5,14.76,medium,vegetarian,lose,Underweight,lose_Underweight
58,Male,160.6,72.0,27.92,high,non-vegetarian,maintain,Overweight,maintain_Overweight
42,Female,179.4,48.5,15.07,medium,vegan,maintain,Underweight,maintain_Underweight
46,Female,176.6,70.2,22.51,high,vegetarian,maintain,Normal,maintain_Normal
53,Male,155.2,76.9,31.93,low,non-vegetarian,gain,Obese,gain_Obese
35,Female,167.0,61.0,21.87,medium,vegetarian,gain,Normal,gain_Normal
38,Male,165.7,64.2,23.38,medium,vegan,lose,Normal,lose_Normal
26,Female,166.1,79.9,28.96,medium,vegan,maintain,Overweight,maintain_Overweight
57,Female,180.9,51.4,15.71,high,non-vegetarian,maintain,Underweight,maintain_Underweight
55,Male,186.3,40.7,11.73,low,vegetarian,lose,Underweight,lose_Underweight
31,Female,163.5,78.8,29.48,low,vegan,gain,Overweight,gain_Overweight
42,Male,167.8,60.7,21.56,low,vegan,maintain,Normal,maintain_Normal
31,Female,162.9,62.6,23.59,medium,non-vegetarian,maintain,Normal,maintain_Normal
39,Female,159.1,82.7,32.67,medium,vegan,lose,Obese,lose_Obese
52,Male,168.6,59.6,20.97,medium,vegan,maintain,Normal,maintain_Normal
54,Male,174.0,74.6,24.64,high,vegan,gain,Normal,gain_Normal
23,Male,173.1,79.4,26.5,medium,vegetarian,gain,Overweight,gain_Overweight
58,Male,156.7,61.6,25.09,low,vegetarian,maintain,Overweight,maintain_Overweight
30,Male,172.5,79.2,26.62,medium,vegetarian,lose,Overweight,lose_Overweight
48,Female,164.8,71.8,26.44,high,vegan,maintain,Overweight,maintain_Overweight
51,Male,177.8,61.1,19.33,medium,non-vegetarian,maintain,Normal,maintain_Normal
55,Female,170.5,67.0,23.05,medium,vegetarian,lose,Normal,lose_Normal
30,Female,162.8,86.5,32.64,medium,vegan,lose,Obese,lose_Obese
57,Female,173.3,82.2,27.37,medium,vegan,lose,Overweight,lose_Overweight
29,Male,178.1,70.3,22.16,high,vegetarian,gain,Normal,gain_Normal
21,Female,171.8,65.3,22.12,high,vegan,gain,Normal,gain_Normal
30,Female,168.2,68.0,24.04,medium,non-vegetarian,maintain,Normal,maintain_Normal
52,Male,166.0,78.9,28.63,medium,vegetarian,maintain,Overweight,maintain_Overweight
58,Male,156.8,101.4,41.24,high,vegan,gain,Obese,gain_Obese
56,Female,154.9,51.8,21.59,high,non-vegetarian,maintain,Normal,maintain_Normal
44,Female,176.6,81.9,26.26,low,vegetarian,lose,Overweight,lose_Overweight
19,Male,171.2,79.4,27.09,high,vegan,gain,Overweight,gain_Overweight
47,Female,164.9,56.5,20.78,high,vegan,maintain,Normal,maintain_Normal
55,Female,165.8,59.8,21.75,medium,vegan,gain,Normal,gain_Normal
47,Male,174.8,67.8,22.19,low,vegetarian,maintain,Normal,maintain_Normal
45,Male,156.7,65.2,26.55,high,vegetarian,maintain,Overweight,maintain_Overweight
45,Male,169.1,61.5,21.51,low,vegetarian,lose,Normal,lose_Normal
54,Male,156.8,73.7,29.98,high,vegetarian,gain,Overweight,gain_Overweight
26,Female,167.4,62.4,22.27,high,vegetarian,lose,Normal,lose_Normal
41,Female,160.3,73.5,28.6,high,vegan,maintain,Overweight,maintain_Overweight
24,Male,150.5,48.9,21.59,low,non-vegetarian,lose,Normal,lose_Normal
18,Male,157.8,66.8,26.83,low,non-vegetarian,maintain,Overweight,maintain_Overweight
40,Male,168.1,92.1,32.59,medium,vegetarian,gain,Obese,gain_Obese
45,Male,173.6,67.6,22.43,medium,non-vegetarian,maintain,Normal,maintain_Normal
25,Male,164.8,55.0,20.25,medium,vegan,maintain,Normal,maintain_Normal
54,Female,164.8,65.7,24.19,medium,vegan,maintain,Normal,maintain_Normal
33,Male,168.2,57.6,20.36,medium,non-vegetarian,maintain,Normal,maintain_Normal
56,Female,170.2,93.0,32.1,low,vegetarian,maintain,Obese,maintain_Obese
19,Male,163.9,76.0,28.29,high,vegetarian,maintain,Overweight,maintain_Overweight
53,Female,171.9,64.0,21.66,medium,vegetarian,maintain,Normal,maintain_Normal
56,Male,167.2,70.2,25.11,high,vegan,gain,Overweight,gain_Overweight
39,Male,166.0,58.4,21.19,high,vegan,gain,Normal,gain_Normal
44,Female,165.2,77.5,28.4,medium,non-vegetarian,gain,Overweight,gain_Overweight
29,Male,179.5,84.4,26.19,medium,non-vegetarian,gain,Overweight,gain_Overweight
20,Male,186.5,58.5,16.82,high,vegetarian,lose,Underweight,lose_Underweight
24,Female,173.7,72.8,24.13,low,vegetarian,maintain,Normal,maintain_Normal
28,Male,186.9,57.9,16.58,medium,vegan,maintain,Underweight,maintain_Underweight
47,Female,156.6,61.0,24.87,medium,non-vegetarian,lose,Normal,lose_Normal
19,Female,143.8,62.1,30.03,medium,vegetarian,lose,Obese,lose_Obese
33,Female,157.4,72.3,29.18,high,non-vegetarian,lose,Overweight,lose_Overweight
46,Female,168.4,98.1,34.59,medium,non-vegetarian,gain,Obese,gain_Obese
18,Male,174.5,61.3,20.13,low,vegan,maintain,Normal,maintain_Normal
25,Female,156.0,77.4,31.8,medium,non-vegetarian,maintain,Obese,maintain_Obese
29,Male,151.8,97.5,42.31,low,vegetarian,gain,Obese,gain_Obese
29,Female,176.8,63.0,20.15,high,non-vegetarian,maintain,Normal,maintain_Normal
18,Female,147.9,90.3,41.28,medium,vegetarian,lose,Obese,lose_Obese
50,Female,163.9,88.6,32.98,high,non-vegetarian,lose,Obese,lose_Obese
34,Female,149.1,61.0,27.44,low,vegan,lose,Overweight,lose_Overweight
30,Female,165.1,70.7,25.94,medium,vegan,gain,Overweight,gain_Overweight
46,Male,160.5,79.3,30.78,low,vegan,maintain,Obese,maintain_Obese
45,Male,154.3,67.9,28.52,low,vegetarian,lose,Overweight,lose_Overweight
27,Female,166.2,77.7,28.13,high,vegan,lose,Overweight,lose_Overweight
42,Female,172.1,53.1,17.93,medium,non-vegetarian,lose,Underweight,lose_Underweight
33,Female,149.7,89.2,39.8,low,vegetarian,lose,Obese,lose_Obese
34,Female,168.3,58.8,20.76,medium,non-vegetarian,gain,Normal,gain_Normal
35,Female,180.5,71.7,22.01,low,vegan,gain,Normal,gain_Normal
46,Female,176.8,71.0,22.71,high,vegetarian,lose,Normal,lose_Normal
28,Female,185.6,96.3,27.96,medium,vegetarian,maintain,Overweight,maintain_Overweight
38,Female,162.5,84.6,32.04,high,vegetarian,lose,Obese,lose_Obese
23,Male,171.5,90.5,30.77,high,vegan,lose,Obese,lose_Obese
19,Female,155.4,80.3,33.25,medium,non-vegetarian,gain,Obese,gain_Obese
25,Male,175.6,43.6,14.14,high,vegetarian,gain,Underweight,gain_Underweight
18,Male,153.2,39.4,16.79,low,non-vegetarian,gain,Underweight,gain_Underweight
19,Female,162.3,80.8,30.67,high,non-vegetarian,gain,Obese,gain_Obese
36,Male,180.0,71.1,21.94,medium,vegetarian,lose,Normal,lose_Normal
44,Male,181.3,49.3,15.0,medium,vegan,lose,Underweight,lose_Underweight
38,Female,148.0,69.2,31.59,high,non-vegetarian,gain,Obese,gain_Obese
26,Male,168.8,69.5,24.39,medium,vegan,maintain,Normal,maintain_Normal
29,Female,144.3,68.7,32.99,low,non-vegetarian,gain,Obese,gain_Obese
39,Male,152.0,80.0,34.63,medium,non-vegetarian,lose,Obese,lose_Obese
26,Male,168.7,55.9,19.64,low,non-vegetarian,maintain,Normal,maintain_Normal
29,Male,159.9,54.1,21.16,low,non-vegetarian,lose,Normal,lose_Normal
49,Female,164.4,84.3,31.19,medium,vegetarian,lose,Obese,lose_Obese
25,Female,155.1,77.6,32.26,medium,vegan,lose,Obese,lose_Obese
46,Female,159.7,58.1,22.78,medium,vegan,maintain,Normal,maintain_Normal
20,Female,163.9,54.5,20.29,high,non-vegetarian,lose,Normal,lose_Normal
28,Male,159.5,52.0,20.44,low,vegetarian,lose,Normal,lose_Normal
42,Female,184.6,70.5,20.69,medium,vegetarian,lose,Normal,lose_Normal
42,Female,158.0,73.2,29.32,low,vegan,lose,Overweight,lose_Overweight
42,Female,163.9,66.7,24.83,medium,non-vegetarian,lose,Normal,lose_Normal
29,Male,171.1,81.4,27.81,high,non-vegetarian,lose,Overweight,lose_Overweight
51,Female,159.7,61.4,24.07,medium,non-vegetarian,lose,Normal,lose_Normal
45,Female,162.2,35.5,13.49,low,vegetarian,maintain,Underweight,maintain_Underweight
31,Male,149.8,90.5,40.33,low,vegan,gain,Obese,gain_Obese
44,Male,181.4,66.3,20.15,low,non-vegetarian,maintain,Normal,maintain_Normal
37,Male,170.8,74.7,25.61,high,non-vegetarian,maintain,Overweight,maintain_Overweight
30,Female,195.8,86.8,22.64,medium,vegetarian,lose,Normal,lose_Normal
50,Female,163.7,55.7,20.79,low,non-vegetarian,gain,Normal,gain_Normal
23,Male,148.9,73.1,32.97,high,vegetarian,maintain,Obese,maintain_Obese
49,Female,157.4,48.7,19.66,high,vegan,maintain,Normal,maintain_Normal
54,Female,158.5,53.8,21.42,low,vegan,maintain,Normal,maintain_Normal
23,Female,181.9,83.2,25.15,medium,vegan,lose,Overweight,lose_Overweight
43,Female,164.9,92.2,33.91,high,vegetarian,lose,Obese,lose_Obese
50,Male,165.8,57.1,20.77,medium,vegan,lose,Normal,lose_Normal
55,Male,180.2,78.1,24.05,low,vegan,maintain,Normal,maintain_Normal
48,Female,154.6,67.1,28.07,medium,vegan,lose,Overweight,lose_Overweight
21,Male,156.2,49.3,20.21,low,non-vegetarian,lose,Normal,lose_Normal
53,Male,174.3,98.6,32.46,medium,vegetarian,maintain,Obese,maintain_Obese
27,Male,151.0,78.4,34.38,low,vegan,lose,Obese,lose_Obese
52,Female,158.5,62.7,24.96,medium,non-vegetarian,maintain,Normal,maintain_Normal
36,Female,159.1,57.0,22.52,low,vegetarian,gain,Normal,gain_Normal
56,Male,165.5,57.5,20.99,high,vegetarian,lose,Normal,lose_Normal
25,Male,167.7,69.2,24.61,low,vegetarian,maintain,Normal,maintain_Normal
21,Male,162.6,56.4,21.33,low,vegetarian,lose,Normal,lose_Normal
45,Male,159.2,81.3,32.08,high,non-vegetarian,gain,Obese,gain_Obese
55,Female,170.0,55.3,19.13,medium,non-vegetarian,lose,Normal,lose_Normal
47,Male,166.0,81.3,29.5,low,vegan,maintain,Overweight,maintain_Overweight
41,Female,148.3,78.2,35.56,medium,vegetarian,lose,Obese,lose_Obese
43,Female,158.4,78.6,31.33,medium,non-vegetarian,gain,Obese,gain_Obese
33,Male,157.4,42.9,17.32,low,vegan,lose,Underweight,lose_Underweight
20,Male,148.7,70.7,31.97,medium,non-vegetarian,gain,Obese,gain_Obese
27,Male,167.6,56.4,20.08,low,non-vegetarian,gain,Normal,gain_Normal
50,Male,171.4,45.1,15.35,low,vegetarian,gain,Underweight,gain_Underweight
54,Male,164.3,51.8,19.19,medium,vegan,lose,Normal,lose_Normal
39,Female,158.5,70.7,28.14,low,non-vegetarian,maintain,Overweight,maintain_Overweight
32,Male,156.4,64.2,26.25,low,vegetarian,gain,Overweight,gain_Overweight
49,Female,175.1,61.3,19.99,high,non-vegetarian,lose,Normal,lose_Normal
29,Female,173.4,53.1,17.66,medium,vegetarian,gain,Underweight,gain_Underweight
23,Male,170.3,91.6,31.58,medium,non-vegetarian,maintain,Obese,maintain_Obese
44,Male,140.3,58.0,29.47,low,vegan,lose,Overweight,lose_Overweight
36,Female,170.8,67.0,22.97,low,non-vegetarian,lose,Normal,lose_Normal
26,Male,168.7,60.9,21.4,medium,non-vegetarian,gain,Normal,gain_Normal
51,Female,165.9,67.7,24.6,medium,non-vegetarian,lose,Normal,lose_Normal
37,Female,176.7,73.8,23.64,low,non-vegetarian,lose,Normal,lose_Normal
48,Female,168.4,63.8,22.5,high,vegetarian,gain,Normal,gain_Normal
29,Female,160.1,63.5,24.77,medium,vegetarian,maintain,Normal,maintain_Normal
30,Male,168.9,63.7,22.33,low,non-vegetarian,gain,Normal,gain_Normal
49,Male,167.9,101.1,35.86,high,non-vegetarian,gain,Obese,gain_Obese
45,Female,173.7,65.1,21.58,low,non-vegetarian,gain,Normal,gain_Normal
27,Male,177.0,63.9,20.4,high,vegan,lose,Normal,lose_Normal
36,Male,144.6,54.9,26.26,high,vegan,gain,Overweight,gain_Overweight
37,Male,146.3,64.7,30.23,high,non-vegetarian,lose,Obese,lose_Obese
23,Female,165.2,95.1,34.85,medium,vegan,lose,Obese,lose_Obese
46,Female,168.3,66.7,23.55,low,vegetarian,maintain,Normal,maintain_Normal
46,Male,173.3,36.8,12.25,high,non-vegetarian,gain,Underweight,gain_Underweight
42,Female,167.4,81.6,29.12,medium,vegan,maintain,Overweight,maintain_Overweight
55,Female,150.2,87.2,38.65,high,non-vegetarian,gain,Obese,gain_Obese
28,Male,168.4,63.8,22.5,low,vegetarian,maintain,Normal,maintain_Normal
28,Female,171.3,104.1,35.48,high,non-vegetarian,maintain,Obese,maintain_Obese
55,Female,166.8,73.7,26.49,medium,non-vegetarian,lose,Overweight,lose_Overweight
29,Male,160.4,57.3,22.27,medium,vegetarian,gain,Normal,gain_Normal
40,Female,173.3,57.2,19.05,high,non-vegetarian,lose,Normal,lose_Normal
58,Female,165.7,62.8,22.87,high,non-vegetarian,lose,Normal,lose_Normal
49,Female,169.8,75.0,26.01,low,vegan,gain,Overweight,gain_Overweight
21,Male,175.4,62.3,20.25,low,non-vegetarian,maintain,Normal,maintain_Normal
52,Female,162.3,55.3,20.99,medium,vegetarian,gain,Normal,gain_Normal
31,Male,160.6,75.7,29.35,high,vegetarian,lose,Overweight,lose_Overweight
41,Male,172.6,56.2,18.86,high,vegan,maintain,Normal,maintain_Normal
57,Female,173.7,90.3,29.93,high,vegan,gain,Overweight,gain_Overweight
33,Male,169.1,98.2,34.34,high,non-vegetarian,gain,Obese,gain_Obese
27,Male,157.3,51.3,20.73,high,vegetarian,maintain,Normal,maintain_Normal
50,Male,147.2,92.4,42.64,low,non-vegetarian,maintain,Obese,maintain_Obese
21,Male,171.5,69.2,23.53,low,vegetarian,lose,Normal,lose_Normal
43,Male,167.8,53.1,18.86,medium,non-vegetarian,maintain,Normal,maintain_Normal
18,Female,189.5,71.9,20.02,high,vegan,lose,Normal,lose_Normal
22,Female,166.1,80.9,29.32,high,non-vegetarian,gain,Overweight,gain_Overweight
57,Male,169.8,73.4,25.46,low,non-vegetarian,gain,Overweight,gain_Overweight
43,Male,157.1,77.1,31.24,high,non-vegetarian,lose,Obese,lose_Obese
48,Female,183.8,90.2,26.7,medium,vegan,lose,Overweight,lose_Overweight
29,Female,180.9,62.3,19.04,high,vegan,gain,Normal,gain_Normal
24,Female,155.1,68.1,28.31,medium,vegan,gain,Overweight,gain_Overweight
27,Male,165.6,86.4,31.51,medium,vegetarian,gain,Obese,gain_Obese
28,Female,148.1,92.9,42.36,medium,vegan,lose,Obese,lose_Obese
24,Female,163.4,63.6,23.82,medium,vegan,lose,Normal,lose_Normal
34,Male,154.9,45.2,18.84,low,non-vegetarian,lose,Normal,lose_Normal
39,Female,173.2,71.1,23.7,high,vegetarian,maintain,Normal,maintain_Normal
55,Female,152.1,50.6,21.87,high,non-vegetarian,lose,Normal,lose_Normal
30,Male,161.6,95.0,36.38,high,vegan,maintain,Obese,maintain_Obese
59,Female,162.4,47.5,18.01,medium,vegan,maintain,Underweight,maintain_Underweight
57,Female,162.5,65.9,24.96,medium,vegetarian,gain,Normal,gain_Normal
29,Female,138.0,69.2,36.34,high,vegetarian,maintain,Obese,maintain_Obese
36,Female,162.7,80.4,30.37,low,vegan,gain,Obese,gain_Obese
50,Male,183.5,86.9,25.81,medium,non-vegetarian,maintain,Overweight,maintain_Overweight
23,Male,162.3,53.4,20.27,high,vegetarian,maintain,Normal,maintain_Normal
41,Male,190.7,70.9,19.5,low,vegan,lose,Normal,lose_Normal
55,Female,165.1,69.6,25.53,low,vegan,lose,Overweight,lose_Overweight
32,Female,167.0,67.8,24.31,high,vegan,gain,Normal,gain_Normal
46,Female,159.3,61.8,24.35,high,vegan,lose,Normal,lose_Normal
24,Female,164.7,61.8,22.78,low,non-vegetarian,maintain,Normal,maintain_Normal
50,Female,157.9,71.6,28.72,medium,vegan,gain,Overweight,gain_Overweight
59,Male,162.5,92.6,35.07,high,non-vegetarian,gain,Obese,gain_Obese
35,Female,138.5,86.4,45.04,high,non-vegetarian,lose,Obese,lose_Obese
31,Male,177.5,38.9,12.35,high,non-vegetarian,lose,Underweight,lose_Underweight
53,Male,161.6,64.4,24.66,medium,vegetarian,maintain,Normal,maintain_Normal
26,Female,150.9,58.3,25.6,low,vegan,maintain,Overweight,maintain_Overweight
30,Female,153.9,96.3,40.66,low,vegetarian,lose,Obese,lose_Obese
53,Female,174.4,89.1,29.29,medium,vegan,lose,Overweight,lose_Overweight
